scan 197 window-schinzel-hypothesis-h@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 50 s | UNKNOWN None | no untried move for any open target | new 0 moves 2 dropped 0 refused 0
scan 198 schinzel-8n | last 4 of 7 rounds gained 190, 234, 264, 260 checked results in 421 s | UNKNOWN None | no untried move for any open target | new 175 moves 474 dropped 0 refused 100
scan 199 schinzel-17n | last 4 of 7 rounds gained 74, 113, 146, 146 checked results in 378 s | UNKNOWN None | no untried move for any open target | new 75 moves 679 dropped 0 refused 11
scan 200 schinzel-14n | last 4 of 7 rounds gained 220, 259, 289, 297 checked results in 449 s | UNKNOWN None | no untried move for any open target | new 221 moves 536 dropped 0 refused 126
scan 201 window-odd-perfect@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 54 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 202 window-pillai | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 57 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 203 window-amicable-infinitude@4 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 61 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 204 schinzel-15n | last 4 of 7 rounds gained 215, 269, 303, 316 checked results in 540 s | UNKNOWN None | no untried move for any open target | new 213 moves 477 dropped 0 refused 99
scan 205 window-artin-primitive-root@4 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 64 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 206 window-graham-pebbling | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 75 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 207 window-twin-primes@4 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 77 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 208 erdos-straus-4n | last 4 of 7 rounds gained 125, 164, 186, 176 checked results in 600 s | UNKNOWN None | no untried move for any open target | new 123 moves 442 dropped 0 refused 26
scan 209 window-prime-k-tuples@4 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 79 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 210 window-wieferich-infinitude@4 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 79 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 211 window-sophie-germain@4 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 80 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 212 window-generalized-riemann-hypothesis@3 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 82 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 213 schinzel-19n | last 4 of 8 rounds gained 469, 332, 372, 377 checked results in 752 s | UNKNOWN None | no untried move for any open target | new 277 moves 684 dropped 0 refused 10
scan 214 schinzel-21n | last 4 of 7 rounds gained 178, 187, 222, 238 checked results in 698 s | UNKNOWN None | no untried move for any open target | new 129 moves 423 dropped 0 refused 95
scan 215 window-andrica@4 | last 4 of 5 rounds gained 0, 0, 1, 0 checked results in 109 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 216 window-polignac@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 87 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 217 window-lehmer-totient@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 88 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 218 schinzel-7n | last 4 of 7 rounds gained 263, 317, 341, 335 checked results in 823 s | UNKNOWN None | no untried move for any open target | new 256 moves 774 dropped 0 refused 154
scan 219 schinzel-12n | last 4 of 7 rounds gained 137, 191, 223, 235 checked results in 772 s | UNKNOWN None | no untried move for any open target | new 134 moves 359 dropped 0 refused 62
scan 220 window-lychrel-196@4 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 113 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 221 window-odd-perfect@4 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 114 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 222 covering-modulus-8 | a search saved its state last round; resumes | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 223 ramsey-3-16 | a search saved its state last round; resumes | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 224 window-lehmer-totient@4 | last 4 of 4 rounds gained 0, 0, 0, 0 checked results in 153 s | UNKNOWN None | no untried move for any open target | new 0 moves 3 dropped 0 refused 0
scan 225 window-polignac@4 | last 4 of 4 rounds gained 1, 1, 0, 0 checked results in 257 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 226 schinzel-18n | last 4 of 8 rounds gained 684, 161, 215, 364 checked results in 1443 s | UNKNOWN None | no untried move for any open target | new 167 moves 423 dropped 0 refused 89
scan 227 sierpinski-5n | last 4 of 6 rounds gained 2169, 333, 364, 419 checked results in 1711 s | UNKNOWN None | no untried move for any open target | new 333 moves 1234 dropped 0 refused 353
scan 228 collatz | last 4 of 15 rounds gained 0, 893, 558, 1 checked results in 1081 s | UNKNOWN None | no untried move for any open target | new 1 moves 4 dropped 0 refused 0
scan 229 covering-modulus-8 | a search saved its state last round; resumes | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 230 ramsey-3-16 | a search saved its state last round; resumes | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 231 window-generalized-riemann-hypothesis@4 | last 4 of 4 rounds gained 1, 0, 0, 0 checked results in 309 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 232 no-three-in-line-61 | a search saved its state last round; resumes | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 233 covering-modulus-8 | a search saved its state last round; resumes | UNKNOWN None | a search saved its state to resume | new 0 moves 1 dropped 0 refused 0
scan 234 ramsey-3-16 | a search saved its state last round; resumes | UNKNOWN None | a search saved its state to resume | new 0 moves 1 dropped 0 refused 0
scan 235 van-der-waerden-10-3 | a search saved its state last round; resumes | UNKNOWN None | a search saved its state to resume | new 0 moves 3 dropped 0 refused 0
scan 236 covering-modulus-8 | a search saved its state last round; resumes | UNKNOWN None | a search saved its state to resume | new 0 moves 1 dropped 0 refused 0
scan 237 covering-modulus-8 | a search saved its state last round; resumes | UNKNOWN None | a search saved its state to resume | new 0 moves 1 dropped 0 refused 0
finished
