scan 62 window-schur-s6 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 63 window-brocard | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 64 window-tate | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 65 window-burnside-b25 | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 66 window-sierpinski-smallest | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 67 window-five-x-plus-one@2 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 68 map-5n-plus-1 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH refuted | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 69 window-hilbert-16 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 70 window-conway-amusical@2 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 71 window-mahler-3-2@2 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 72 three-over-n | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH proved | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 73 window-brocard@2 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 74 window-busy-beaver-6 | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 75 window-p-vs-np | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 76 window-second-neighborhood | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 77 window-sphere-packing | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 78 window-gilbreath | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 79 window-perfect-cuboid | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 80 window-union-closed | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 81 window-leopoldt | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 82 window-rota-basis | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 83 window-hadwiger-graph | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 84 window-sum-product | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 85 window-euler-gamma | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 86 window-navier-stokes | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 87 window-busy-beaver-6@2 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 5 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 88 window-artin-primitive-root | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 89 window-gauss-circle | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 90 window-conway-amusical@3 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 91 window-lehmer-mahler-measure | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 92 window-volume-conjecture | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 93 window-pi-normal | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 94 window-five-x-plus-one@3 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 95 window-birch-swinnerton-dyer | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 96 window-carmichael-totient | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 97 window-one-third-two-thirds | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 98 window-lychrel-196@2 | last 4 of 7 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 99 window-regular-primes-infinitude | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 100 window-mlc | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 101 window-odd-perfect | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 102 window-cramer | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 6 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 103 window-class-number-one | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 7 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 104 window-three-cubes | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 7 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 105 window-wall-sun-sun | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 7 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 106 window-landau-n2-plus-1 | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 7 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 107 window-bunyakovsky | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 7 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 108 window-dirichlet-divisor | last 4 of 9 rounds gained 0, 0, 0, 0 checked results in 7 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 109 window-schinzel-hypothesis-h | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 7 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 110 window-legendre | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 7 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
